71 0 0.164 0.152 0.128 0.012 0.012 0 0 0 0 0 0.008 0
671 0 3.984 3.796 3.468 0.208 0.12 0 0 0 0 0 0.056 0
1391 0 10.68 10.28 9.572 0.388 0.32 0 0 0 0 0 0.124 0
1871 0 21.148 20.632 19.888 0.388 0.356 0 0 0 0 0 0.188 0
2471 0 22.784 21.992 20.464 0.828 0.7 0 0 0 0 0 0.228 0
3011 0 26.66 25.7 24.056 0.888 0.752 0 0 0 0 0 0.284 0
3611 0 57.076 55.988 54.22 0.96 0.804 0 0 0 0 0 0.34 0
4211 0 60.84 59.188 55.688 1.916 1.584 0 0 0 0 0 0.392 0
4811 0 61.068 59.296 55.7 1.956 1.64 0 0 0 0 0 0.46 0
5411 0 61.24 59.348 55.768 1.952 1.62 0 0 0 0 0 0.508 0
6011 0 59.38 57.432 53.912 1.908 1.612 0 0 0 0 0 0.56 0
6611 0 60.992 58.888 55.22 1.964 1.7 0 0 0 0 0 0.624 0
7211 0 119.58 117.284 113.472 2.06 1.744 0 0 0 0 0 0.68 0
7811 0 119.6 117.212 113.412 2.016 1.776 0 0 0 0 0 0.744 0
8411 0 123.124 119.672 112.096 4.14 3.428 0 0 0 0 0 0.804 0
9011 0 124.056 120.58 112.924 4.172 3.48 0 0 0 0 0 0.844 0
