249 10 1.036 0 0 0 0 0 0 0 0 0 0 0
499 10 5.54896 0 0 0 0 0 0 0 0 0 0 0
499 5 7.44256 0 0 0 0 0 0 0 0 0 0 0
749 10 16.0454 0 0 0 0 0 0 0 0 0 0 0
999 10 26.5866 0 0 0 0 0 0 0 0 0 0 0
1249 10 54.9275 0 0 0 0 0 0 0 0 0 0 0
1499 10 80.7667 0 0 0 0 0 0 0 0 0 0 0
1749 10 100.333 0 0 0 0 0 0 0 0 0 0 0
1999 10 130.666 0 0 0 0 0 0 0 0 0 0 0
2249 10 232.468 0 0 0 0 0 0 0 0 0 0 0
2499 0 278.984 0 0 0 0 0 0 0 0 0 0 0
2749 0 327.576 0 0 0 0 0 0 0 0 0 0 0
2999 0 378.242 0 0 0 0 0 0 0 0 0 0 0
3249 0 443.394 0 0 0 0 0 0 0 0 0 0 0
3499 0 501.904 0 0 0 0 0 0 0 0 0 0 0
3749 0 561.017 0 0 0 0 0 0 0 0 0 0 0
3999 0 622.259 0 0 0 0 0 0 0 0 0 0 0
4249 0 1090.28 0 0 0 0 0 0 0 0 0 0 0
4499 0 1187.23 0 0 0 0 0 0 0 0 0 0 0
4749 0 1287.42 0 0 0 0 0 0 0 0 0 0 0
4999 0 1393.94 0 0 0 0 0 0 0 0 0 0 0
