71 1000 0.18 0.14 0.12 0.012 0.008 0 0 0 0 0 0.008 0
671 1000 1.648 1.26 0.948 0.16 0.152 0 0 0 0 0 0.064 0
1271 1000 3.36 2.552 1.9 0.352 0.296 0 0 0 0 0 0.12 0
1871 1000 4.54 3.48 2.748 0.408 0.324 0 0 0 0 0 0.168 0
2471 1000 6.904 5.336 3.816 0.816 0.704 0 0 0 0 0 0.228 0
3011 1000 8.696 6.824 5.208 0.888 0.724 0 0 0 0 0 0.284 0
3611 1000 10.124 7.972 6.328 0.884 0.76 0 0 0 0 0 0.332 0
4211 1000 13.676 10.852 7.452 1.856 1.544 0 0 0 0 0 0.384 0
4811 1000 14.936 11.696 8.268 1.864 1.56 0 0 0 0 0 0.456 0
5411 1000 16.288 12.764 9.312 1.88 1.572 0 0 0 0 0 0.5 0
6011 1000 17.78 13.956 10.492 1.872 1.584 0 0 0 0 0 0.552 0
6611 1000 18.876 14.772 11.224 1.916 1.62 0 0 0 0 0 0.612 0
7211 1000 21.648 17.144 13.592 1.9 1.644 0 0 0 0 0 0.68 0
7811 1000 22.372 17.66 14.072 1.908 1.664 0 0 0 0 0 0.712 0
8411 1000 29.184 23.216 15.864 4.004 3.332 0 0 0 0 0 0.788 0
9011 1000 30.004 23.488 16.108 4.02 3.352 0 0 0 0 0 0.844 0
